correlation method,metric,mean value,std error of value,trials,train,test,bags,observational,output index 0,output index 1
Trivial,68.30000000000001% standard confidence,0.6842447916666666,0.02186781750185991,32,32,48,64,true,PROPERTY: YS (MPa),PROPERTY: Elongation (%)
Training Data,68.30000000000001% standard confidence,0.6145833333333334,0.022211877746395808,32,32,48,64,true,PROPERTY: YS (MPa),PROPERTY: Elongation (%)
Bootstrap,68.30000000000001% standard confidence,0.6412760416666666,0.020969896952526934,32,32,48,64,true,PROPERTY: YS (MPa),PROPERTY: Elongation (%)
Jackknife,68.30000000000001% standard confidence,0.5755208333333334,0.020061170492357554,32,32,48,64,true,PROPERTY: YS (MPa),PROPERTY: Elongation (%)
Trivial,68.30000000000001% standard confidence,0.6998697916666667,0.01531981070941331,32,64,48,64,true,PROPERTY: YS (MPa),PROPERTY: Elongation (%)
Training Data,68.30000000000001% standard confidence,0.6432291666666665,0.0198273988708868,32,64,48,64,true,PROPERTY: YS (MPa),PROPERTY: Elongation (%)
Bootstrap,68.30000000000001% standard confidence,0.6595052083333334,0.01643436989033106,32,64,48,64,true,PROPERTY: YS (MPa),PROPERTY: Elongation (%)
Jackknife,68.30000000000001% standard confidence,0.6171875,0.015149838903932416,32,64,48,64,true,PROPERTY: YS (MPa),PROPERTY: Elongation (%)
Trivial,68.30000000000001% standard confidence,0.6920572916666667,0.015260904801235618,32,96,48,64,true,PROPERTY: YS (MPa),PROPERTY: Elongation (%)
Training Data,68.30000000000001% standard confidence,0.6438802083333334,0.014333547634917988,32,96,48,64,true,PROPERTY: YS (MPa),PROPERTY: Elongation (%)
Bootstrap,68.30000000000001% standard confidence,0.671875,0.015920597995621722,32,96,48,64,true,PROPERTY: YS (MPa),PROPERTY: Elongation (%)
Jackknife,68.30000000000001% standard confidence,0.6276041666666667,0.014981033201827932,32,96,48,64,true,PROPERTY: YS (MPa),PROPERTY: Elongation (%)
Trivial,68.30000000000001% standard confidence,0.7096354166666666,0.013747234644387162,32,128,48,64,true,PROPERTY: YS (MPa),PROPERTY: Elongation (%)
Training Data,68.30000000000001% standard confidence,0.6484375,0.014838894947970678,32,128,48,64,true,PROPERTY: YS (MPa),PROPERTY: Elongation (%)
Bootstrap,68.30000000000001% standard confidence,0.6679687500000001,0.015210916656843846,32,128,48,64,true,PROPERTY: YS (MPa),PROPERTY: Elongation (%)
Jackknife,68.30000000000001% standard confidence,0.6341145833333334,0.014700788974709816,32,128,48,64,true,PROPERTY: YS (MPa),PROPERTY: Elongation (%)
