method,initial points,goal 1,goal 2,points to find,rounds
Jackknife,16,y > 22.0,z > 22.0,1,12
Jackknife,16,y > 22.0,z > 22.0,1,1
Jackknife,16,y > 22.0,z > 22.0,1,9
Jackknife,16,y > 22.0,z > 22.0,1,1
Jackknife,16,y > 22.0,z > 22.0,1,2
Jackknife,16,y > 22.0,z > 22.0,1,8
Jackknife,16,y > 22.0,z > 22.0,1,3
Jackknife,16,y > 22.0,z > 22.0,1,8
Jackknife,16,y > 22.0,z > 22.0,1,11
Jackknife,16,y > 22.0,z > 22.0,1,4
Jackknife,16,y > 22.0,z > 22.0,1,13
Jackknife,16,y > 22.0,z > 22.0,1,1
Jackknife,16,y > 22.0,z > 22.0,1,21
Jackknife,16,y > 22.0,z > 22.0,1,30
Jackknife,16,y > 22.0,z > 22.0,1,7
Jackknife,16,y > 22.0,z > 22.0,1,1
Jackknife,16,y > 22.0,z > 22.0,1,14
Jackknife,16,y > 22.0,z > 22.0,1,2
Jackknife,16,y > 22.0,z > 22.0,1,23
Jackknife,16,y > 22.0,z > 22.0,1,3
Jackknife,16,y > 22.0,z > 22.0,1,9
Jackknife,16,y > 22.0,z > 22.0,1,2
Jackknife,16,y > 22.0,z > 22.0,1,6
Jackknife,16,y > 22.0,z > 22.0,1,6
Jackknife,16,y > 22.0,z > 22.0,1,6
Jackknife,16,y > 22.0,z > 22.0,1,9
Jackknife,16,y > 22.0,z > 22.0,1,1
Jackknife,16,y > 22.0,z > 22.0,1,4
Jackknife,16,y > 22.0,z > 22.0,1,11
Jackknife,16,y > 22.0,z > 22.0,1,16
Jackknife,16,y > 22.0,z > 22.0,1,3
Jackknife,16,y > 22.0,z > 22.0,1,39
Jackknife,16,y > 22.0,z > 22.0,1,6
Jackknife,16,y > 22.0,z > 22.0,1,8
Jackknife,16,y > 22.0,z > 22.0,1,25
Jackknife,16,y > 22.0,z > 22.0,1,2
Jackknife,16,y > 22.0,z > 22.0,1,10
Jackknife,16,y > 22.0,z > 22.0,1,14
Jackknife,16,y > 22.0,z > 22.0,1,3
Jackknife,16,y > 22.0,z > 22.0,1,14
Jackknife,16,y > 22.0,z > 22.0,1,24
Jackknife,16,y > 22.0,z > 22.0,1,3
Jackknife,16,y > 22.0,z > 22.0,1,23
Jackknife,16,y > 22.0,z > 22.0,1,3
Jackknife,16,y > 22.0,z > 22.0,1,46
Jackknife,16,y > 22.0,z > 22.0,1,58
Jackknife,16,y > 22.0,z > 22.0,1,1
Jackknife,16,y > 22.0,z > 22.0,1,7
Jackknife,16,y > 22.0,z > 22.0,1,7
Jackknife,16,y > 22.0,z > 22.0,1,21
Jackknife,16,y > 22.0,z > 22.0,1,3
Jackknife,16,y > 22.0,z > 22.0,1,3
Jackknife,16,y > 22.0,z > 22.0,1,12
Jackknife,16,y > 22.0,z > 22.0,1,11
Jackknife,16,y > 22.0,z > 22.0,1,43
Jackknife,16,y > 22.0,z > 22.0,1,5
Jackknife,16,y > 22.0,z > 22.0,1,2
Jackknife,16,y > 22.0,z > 22.0,1,26
Jackknife,16,y > 22.0,z > 22.0,1,2
Jackknife,16,y > 22.0,z > 22.0,1,2
Jackknife,16,y > 22.0,z > 22.0,1,6
Jackknife,16,y > 22.0,z > 22.0,1,13
Jackknife,16,y > 22.0,z > 22.0,1,4
Jackknife,16,y > 22.0,z > 22.0,1,23
