method,initial points,goal 1,goal 2,points to find,rounds
Bootstrap,16,y > 22.0,z > 22.0,1,4
Bootstrap,16,y > 22.0,z > 22.0,1,2
Bootstrap,16,y > 22.0,z > 22.0,1,7
Bootstrap,16,y > 22.0,z > 22.0,1,1
Bootstrap,16,y > 22.0,z > 22.0,1,2
Bootstrap,16,y > 22.0,z > 22.0,1,31
Bootstrap,16,y > 22.0,z > 22.0,1,11
Bootstrap,16,y > 22.0,z > 22.0,1,2
Bootstrap,16,y > 22.0,z > 22.0,1,9
Bootstrap,16,y > 22.0,z > 22.0,1,2
Bootstrap,16,y > 22.0,z > 22.0,1,17
Bootstrap,16,y > 22.0,z > 22.0,1,3
Bootstrap,16,y > 22.0,z > 22.0,1,2
Bootstrap,16,y > 22.0,z > 22.0,1,20
Bootstrap,16,y > 22.0,z > 22.0,1,1
Bootstrap,16,y > 22.0,z > 22.0,1,1
Bootstrap,16,y > 22.0,z > 22.0,1,11
Bootstrap,16,y > 22.0,z > 22.0,1,4
Bootstrap,16,y > 22.0,z > 22.0,1,4
Bootstrap,16,y > 22.0,z > 22.0,1,1
Bootstrap,16,y > 22.0,z > 22.0,1,7
Bootstrap,16,y > 22.0,z > 22.0,1,1
Bootstrap,16,y > 22.0,z > 22.0,1,1
Bootstrap,16,y > 22.0,z > 22.0,1,4
Bootstrap,16,y > 22.0,z > 22.0,1,17
Bootstrap,16,y > 22.0,z > 22.0,1,8
Bootstrap,16,y > 22.0,z > 22.0,1,1
Bootstrap,16,y > 22.0,z > 22.0,1,1
Bootstrap,16,y > 22.0,z > 22.0,1,7
Bootstrap,16,y > 22.0,z > 22.0,1,13
Bootstrap,16,y > 22.0,z > 22.0,1,6
Bootstrap,16,y > 22.0,z > 22.0,1,5
Bootstrap,16,y > 22.0,z > 22.0,1,1
Bootstrap,16,y > 22.0,z > 22.0,1,3
Bootstrap,16,y > 22.0,z > 22.0,1,7
Bootstrap,16,y > 22.0,z > 22.0,1,4
Bootstrap,16,y > 22.0,z > 22.0,1,6
Bootstrap,16,y > 22.0,z > 22.0,1,2
Bootstrap,16,y > 22.0,z > 22.0,1,6
Bootstrap,16,y > 22.0,z > 22.0,1,17
Bootstrap,16,y > 22.0,z > 22.0,1,10
Bootstrap,16,y > 22.0,z > 22.0,1,1
Bootstrap,16,y > 22.0,z > 22.0,1,24
Bootstrap,16,y > 22.0,z > 22.0,1,3
Bootstrap,16,y > 22.0,z > 22.0,1,15
Bootstrap,16,y > 22.0,z > 22.0,1,34
Bootstrap,16,y > 22.0,z > 22.0,1,1
Bootstrap,16,y > 22.0,z > 22.0,1,1
Bootstrap,16,y > 22.0,z > 22.0,1,3
Bootstrap,16,y > 22.0,z > 22.0,1,32
Bootstrap,16,y > 22.0,z > 22.0,1,6
Bootstrap,16,y > 22.0,z > 22.0,1,2
Bootstrap,16,y > 22.0,z > 22.0,1,11
Bootstrap,16,y > 22.0,z > 22.0,1,9
Bootstrap,16,y > 22.0,z > 22.0,1,3
Bootstrap,16,y > 22.0,z > 22.0,1,1
Bootstrap,16,y > 22.0,z > 22.0,1,11
Bootstrap,16,y > 22.0,z > 22.0,1,20
Bootstrap,16,y > 22.0,z > 22.0,1,6
Bootstrap,16,y > 22.0,z > 22.0,1,3
Bootstrap,16,y > 22.0,z > 22.0,1,25
Bootstrap,16,y > 22.0,z > 22.0,1,3
Bootstrap,16,y > 22.0,z > 22.0,1,2
Bootstrap,16,y > 22.0,z > 22.0,1,5
