method,initial points,goal 1,goal 2,points to find,rounds
FromTraining,16,y > 22.0,z > 22.0,1,59
FromTraining,16,y > 22.0,z > 22.0,1,11
FromTraining,16,y > 22.0,z > 22.0,1,40
FromTraining,16,y > 22.0,z > 22.0,1,17
FromTraining,16,y > 22.0,z > 22.0,1,35
FromTraining,16,y > 22.0,z > 22.0,1,24
FromTraining,16,y > 22.0,z > 22.0,1,55
FromTraining,16,y > 22.0,z > 22.0,1,4
FromTraining,16,y > 22.0,z > 22.0,1,60
FromTraining,16,y > 22.0,z > 22.0,1,48
FromTraining,16,y > 22.0,z > 22.0,1,59
FromTraining,16,y > 22.0,z > 22.0,1,66
FromTraining,16,y > 22.0,z > 22.0,1,22
FromTraining,16,y > 22.0,z > 22.0,1,8
FromTraining,16,y > 22.0,z > 22.0,1,60
FromTraining,16,y > 22.0,z > 22.0,1,60
FromTraining,16,y > 22.0,z > 22.0,1,58
FromTraining,16,y > 22.0,z > 22.0,1,63
FromTraining,16,y > 22.0,z > 22.0,1,59
FromTraining,16,y > 22.0,z > 22.0,1,53
FromTraining,16,y > 22.0,z > 22.0,1,74
FromTraining,16,y > 22.0,z > 22.0,1,3
FromTraining,16,y > 22.0,z > 22.0,1,73
FromTraining,16,y > 22.0,z > 22.0,1,27
FromTraining,16,y > 22.0,z > 22.0,1,51
FromTraining,16,y > 22.0,z > 22.0,1,33
FromTraining,16,y > 22.0,z > 22.0,1,5
FromTraining,16,y > 22.0,z > 22.0,1,54
FromTraining,16,y > 22.0,z > 22.0,1,15
FromTraining,16,y > 22.0,z > 22.0,1,52
FromTraining,16,y > 22.0,z > 22.0,1,53
FromTraining,16,y > 22.0,z > 22.0,1,59
FromTraining,16,y > 22.0,z > 22.0,1,3
FromTraining,16,y > 22.0,z > 22.0,1,1
FromTraining,16,y > 22.0,z > 22.0,1,35
FromTraining,16,y > 22.0,z > 22.0,1,29
FromTraining,16,y > 22.0,z > 22.0,1,28
FromTraining,16,y > 22.0,z > 22.0,1,48
FromTraining,16,y > 22.0,z > 22.0,1,34
FromTraining,16,y > 22.0,z > 22.0,1,45
FromTraining,16,y > 22.0,z > 22.0,1,68
FromTraining,16,y > 22.0,z > 22.0,1,61
FromTraining,16,y > 22.0,z > 22.0,1,59
FromTraining,16,y > 22.0,z > 22.0,1,59
FromTraining,16,y > 22.0,z > 22.0,1,60
FromTraining,16,y > 22.0,z > 22.0,1,65
FromTraining,16,y > 22.0,z > 22.0,1,5
FromTraining,16,y > 22.0,z > 22.0,1,48
FromTraining,16,y > 22.0,z > 22.0,1,16
FromTraining,16,y > 22.0,z > 22.0,1,76
FromTraining,16,y > 22.0,z > 22.0,1,26
FromTraining,16,y > 22.0,z > 22.0,1,41
FromTraining,16,y > 22.0,z > 22.0,1,68
FromTraining,16,y > 22.0,z > 22.0,1,62
FromTraining,16,y > 22.0,z > 22.0,1,63
FromTraining,16,y > 22.0,z > 22.0,1,16
FromTraining,16,y > 22.0,z > 22.0,1,10
FromTraining,16,y > 22.0,z > 22.0,1,62
FromTraining,16,y > 22.0,z > 22.0,1,73
FromTraining,16,y > 22.0,z > 22.0,1,1
FromTraining,16,y > 22.0,z > 22.0,1,11
FromTraining,16,y > 22.0,z > 22.0,1,75
FromTraining,16,y > 22.0,z > 22.0,1,10
FromTraining,16,y > 22.0,z > 22.0,1,51
