method,initial points,goal 1,goal 2,points to find,rounds
Trivial,16,y > 22.0,z > 22.0,1,50
Trivial,16,y > 22.0,z > 22.0,1,2
Trivial,16,y > 22.0,z > 22.0,1,47
Trivial,16,y > 22.0,z > 22.0,1,36
Trivial,16,y > 22.0,z > 22.0,1,6
Trivial,16,y > 22.0,z > 22.0,1,19
Trivial,16,y > 22.0,z > 22.0,1,50
Trivial,16,y > 22.0,z > 22.0,1,46
Trivial,16,y > 22.0,z > 22.0,1,55
Trivial,16,y > 22.0,z > 22.0,1,45
Trivial,16,y > 22.0,z > 22.0,1,65
Trivial,16,y > 22.0,z > 22.0,1,45
Trivial,16,y > 22.0,z > 22.0,1,17
Trivial,16,y > 22.0,z > 22.0,1,6
Trivial,16,y > 22.0,z > 22.0,1,11
Trivial,16,y > 22.0,z > 22.0,1,58
Trivial,16,y > 22.0,z > 22.0,1,28
Trivial,16,y > 22.0,z > 22.0,1,14
Trivial,16,y > 22.0,z > 22.0,1,42
Trivial,16,y > 22.0,z > 22.0,1,48
Trivial,16,y > 22.0,z > 22.0,1,55
Trivial,16,y > 22.0,z > 22.0,1,17
Trivial,16,y > 22.0,z > 22.0,1,65
Trivial,16,y > 22.0,z > 22.0,1,17
Trivial,16,y > 22.0,z > 22.0,1,50
Trivial,16,y > 22.0,z > 22.0,1,24
Trivial,16,y > 22.0,z > 22.0,1,5
Trivial,16,y > 22.0,z > 22.0,1,51
Trivial,16,y > 22.0,z > 22.0,1,2
Trivial,16,y > 22.0,z > 22.0,1,35
Trivial,16,y > 22.0,z > 22.0,1,42
Trivial,16,y > 22.0,z > 22.0,1,68
Trivial,16,y > 22.0,z > 22.0,1,5
Trivial,16,y > 22.0,z > 22.0,1,4
Trivial,16,y > 22.0,z > 22.0,1,25
Trivial,16,y > 22.0,z > 22.0,1,2
Trivial,16,y > 22.0,z > 22.0,1,25
Trivial,16,y > 22.0,z > 22.0,1,2
Trivial,16,y > 22.0,z > 22.0,1,32
Trivial,16,y > 22.0,z > 22.0,1,40
Trivial,16,y > 22.0,z > 22.0,1,52
Trivial,16,y > 22.0,z > 22.0,1,62
Trivial,16,y > 22.0,z > 22.0,1,71
Trivial,16,y > 22.0,z > 22.0,1,50
Trivial,16,y > 22.0,z > 22.0,1,57
Trivial,16,y > 22.0,z > 22.0,1,63
Trivial,16,y > 22.0,z > 22.0,1,7
Trivial,16,y > 22.0,z > 22.0,1,42
Trivial,16,y > 22.0,z > 22.0,1,6
Trivial,16,y > 22.0,z > 22.0,1,44
Trivial,16,y > 22.0,z > 22.0,1,19
Trivial,16,y > 22.0,z > 22.0,1,28
Trivial,16,y > 22.0,z > 22.0,1,52
Trivial,16,y > 22.0,z > 22.0,1,58
Trivial,16,y > 22.0,z > 22.0,1,71
Trivial,16,y > 22.0,z > 22.0,1,2
Trivial,16,y > 22.0,z > 22.0,1,47
Trivial,16,y > 22.0,z > 22.0,1,39
Trivial,16,y > 22.0,z > 22.0,1,67
Trivial,16,y > 22.0,z > 22.0,1,1
Trivial,16,y > 22.0,z > 22.0,1,68
Trivial,16,y > 22.0,z > 22.0,1,25
Trivial,16,y > 22.0,z > 22.0,1,12
Trivial,16,y > 22.0,z > 22.0,1,46
