method,initial points,goal 1,goal 2,points to find,rounds
FromTraining,16,y > 22.0,z > 22.0,1,57
FromTraining,16,y > 22.0,z > 22.0,1,55
FromTraining,16,y > 22.0,z > 22.0,1,53
FromTraining,16,y > 22.0,z > 22.0,1,29
FromTraining,16,y > 22.0,z > 22.0,1,3
FromTraining,16,y > 22.0,z > 22.0,1,26
FromTraining,16,y > 22.0,z > 22.0,1,55
FromTraining,16,y > 22.0,z > 22.0,1,4
FromTraining,16,y > 22.0,z > 22.0,1,57
FromTraining,16,y > 22.0,z > 22.0,1,48
FromTraining,16,y > 22.0,z > 22.0,1,63
FromTraining,16,y > 22.0,z > 22.0,1,74
FromTraining,16,y > 22.0,z > 22.0,1,33
FromTraining,16,y > 22.0,z > 22.0,1,3
FromTraining,16,y > 22.0,z > 22.0,1,59
FromTraining,16,y > 22.0,z > 22.0,1,62
FromTraining,16,y > 22.0,z > 22.0,1,51
FromTraining,16,y > 22.0,z > 22.0,1,51
FromTraining,16,y > 22.0,z > 22.0,1,63
FromTraining,16,y > 22.0,z > 22.0,1,44
FromTraining,16,y > 22.0,z > 22.0,1,55
FromTraining,16,y > 22.0,z > 22.0,1,3
FromTraining,16,y > 22.0,z > 22.0,1,52
FromTraining,16,y > 22.0,z > 22.0,1,7
FromTraining,16,y > 22.0,z > 22.0,1,72
FromTraining,16,y > 22.0,z > 22.0,1,31
FromTraining,16,y > 22.0,z > 22.0,1,4
FromTraining,16,y > 22.0,z > 22.0,1,51
FromTraining,16,y > 22.0,z > 22.0,1,5
FromTraining,16,y > 22.0,z > 22.0,1,47
FromTraining,16,y > 22.0,z > 22.0,1,48
FromTraining,16,y > 22.0,z > 22.0,1,70
FromTraining,16,y > 22.0,z > 22.0,1,7
FromTraining,16,y > 22.0,z > 22.0,1,4
FromTraining,16,y > 22.0,z > 22.0,1,51
FromTraining,16,y > 22.0,z > 22.0,1,3
FromTraining,16,y > 22.0,z > 22.0,1,51
FromTraining,16,y > 22.0,z > 22.0,1,65
FromTraining,16,y > 22.0,z > 22.0,1,5
FromTraining,16,y > 22.0,z > 22.0,1,55
FromTraining,16,y > 22.0,z > 22.0,1,57
FromTraining,16,y > 22.0,z > 22.0,1,67
FromTraining,16,y > 22.0,z > 22.0,1,73
FromTraining,16,y > 22.0,z > 22.0,1,58
FromTraining,16,y > 22.0,z > 22.0,1,48
FromTraining,16,y > 22.0,z > 22.0,1,71
FromTraining,16,y > 22.0,z > 22.0,1,2
FromTraining,16,y > 22.0,z > 22.0,1,52
FromTraining,16,y > 22.0,z > 22.0,1,10
FromTraining,16,y > 22.0,z > 22.0,1,75
FromTraining,16,y > 22.0,z > 22.0,1,2
FromTraining,16,y > 22.0,z > 22.0,1,55
FromTraining,16,y > 22.0,z > 22.0,1,69
FromTraining,16,y > 22.0,z > 22.0,1,62
FromTraining,16,y > 22.0,z > 22.0,1,70
FromTraining,16,y > 22.0,z > 22.0,1,2
FromTraining,16,y > 22.0,z > 22.0,1,58
FromTraining,16,y > 22.0,z > 22.0,1,41
FromTraining,16,y > 22.0,z > 22.0,1,67
FromTraining,16,y > 22.0,z > 22.0,1,1
FromTraining,16,y > 22.0,z > 22.0,1,51
FromTraining,16,y > 22.0,z > 22.0,1,65
FromTraining,16,y > 22.0,z > 22.0,1,11
FromTraining,16,y > 22.0,z > 22.0,1,32
