method,initial points,goal 1,goal 2,points to find,rounds
Trivial,16,y > 22.0,z > 22.0,1,51
Trivial,16,y > 22.0,z > 22.0,1,14
Trivial,16,y > 22.0,z > 22.0,1,47
Trivial,16,y > 22.0,z > 22.0,1,49
Trivial,16,y > 22.0,z > 22.0,1,3
Trivial,16,y > 22.0,z > 22.0,1,16
Trivial,16,y > 22.0,z > 22.0,1,51
Trivial,16,y > 22.0,z > 22.0,1,10
Trivial,16,y > 22.0,z > 22.0,1,54
Trivial,16,y > 22.0,z > 22.0,1,43
Trivial,16,y > 22.0,z > 22.0,1,54
Trivial,16,y > 22.0,z > 22.0,1,51
Trivial,16,y > 22.0,z > 22.0,1,44
Trivial,16,y > 22.0,z > 22.0,1,5
Trivial,16,y > 22.0,z > 22.0,1,41
Trivial,16,y > 22.0,z > 22.0,1,61
Trivial,16,y > 22.0,z > 22.0,1,45
Trivial,16,y > 22.0,z > 22.0,1,42
Trivial,16,y > 22.0,z > 22.0,1,47
Trivial,16,y > 22.0,z > 22.0,1,45
Trivial,16,y > 22.0,z > 22.0,1,56
Trivial,16,y > 22.0,z > 22.0,1,3
Trivial,16,y > 22.0,z > 22.0,1,47
Trivial,16,y > 22.0,z > 22.0,1,7
Trivial,16,y > 22.0,z > 22.0,1,45
Trivial,16,y > 22.0,z > 22.0,1,35
Trivial,16,y > 22.0,z > 22.0,1,1
Trivial,16,y > 22.0,z > 22.0,1,52
Trivial,16,y > 22.0,z > 22.0,1,11
Trivial,16,y > 22.0,z > 22.0,1,45
Trivial,16,y > 22.0,z > 22.0,1,39
Trivial,16,y > 22.0,z > 22.0,1,68
Trivial,16,y > 22.0,z > 22.0,1,9
Trivial,16,y > 22.0,z > 22.0,1,1
Trivial,16,y > 22.0,z > 22.0,1,27
Trivial,16,y > 22.0,z > 22.0,1,25
Trivial,16,y > 22.0,z > 22.0,1,17
Trivial,16,y > 22.0,z > 22.0,1,18
Trivial,16,y > 22.0,z > 22.0,1,30
Trivial,16,y > 22.0,z > 22.0,1,43
Trivial,16,y > 22.0,z > 22.0,1,51
Trivial,16,y > 22.0,z > 22.0,1,54
Trivial,16,y > 22.0,z > 22.0,1,52
Trivial,16,y > 22.0,z > 22.0,1,61
Trivial,16,y > 22.0,z > 22.0,1,55
Trivial,16,y > 22.0,z > 22.0,1,60
Trivial,16,y > 22.0,z > 22.0,1,2
Trivial,16,y > 22.0,z > 22.0,1,38
Trivial,16,y > 22.0,z > 22.0,1,5
Trivial,16,y > 22.0,z > 22.0,1,42
Trivial,16,y > 22.0,z > 22.0,1,19
Trivial,16,y > 22.0,z > 22.0,1,14
Trivial,16,y > 22.0,z > 22.0,1,50
Trivial,16,y > 22.0,z > 22.0,1,61
Trivial,16,y > 22.0,z > 22.0,1,75
Trivial,16,y > 22.0,z > 22.0,1,2
Trivial,16,y > 22.0,z > 22.0,1,52
Trivial,16,y > 22.0,z > 22.0,1,41
Trivial,16,y > 22.0,z > 22.0,1,54
Trivial,16,y > 22.0,z > 22.0,1,1
Trivial,16,y > 22.0,z > 22.0,1,44
Trivial,16,y > 22.0,z > 22.0,1,61
Trivial,16,y > 22.0,z > 22.0,1,17
Trivial,16,y > 22.0,z > 22.0,1,39
