method,initial points,goal 1,goal 2,goal 3,goal 4,points to find,rounds
Bootstrap,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,8
Bootstrap,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,157
Bootstrap,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,240
Bootstrap,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,29
Bootstrap,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,192
Bootstrap,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,84
Bootstrap,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,21
Bootstrap,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,285
Bootstrap,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,146
Bootstrap,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,94
Bootstrap,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,6
Bootstrap,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,134
Bootstrap,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,500
Bootstrap,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,13
Bootstrap,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,245
Bootstrap,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,16
Bootstrap,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,281
Bootstrap,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,31
Bootstrap,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,54
Bootstrap,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,396
Bootstrap,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,152
Bootstrap,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,90
Bootstrap,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,81
Bootstrap,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,71
Bootstrap,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,7
Bootstrap,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,370
Bootstrap,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,398
Bootstrap,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,33
Bootstrap,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,58
Bootstrap,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,265
