method,initial points,goal 1,goal 2,goal 3,goal 4,points to find,rounds
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,55
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,190
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,263
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,68
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,231
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,108
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,3
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,318
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,222
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,98
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,19
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,141
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,641
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,209
