method,initial points,goal 1,goal 2,goal 3,goal 4,points to find,rounds
FromTraining,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,16
FromTraining,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,204
FromTraining,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,247
FromTraining,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,130
FromTraining,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,182
FromTraining,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,140
FromTraining,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,58
FromTraining,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,301
FromTraining,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,210
FromTraining,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,103
FromTraining,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,10
FromTraining,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,154
FromTraining,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,498
FromTraining,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,217
FromTraining,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,310
FromTraining,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,81
FromTraining,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,293
FromTraining,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,67
FromTraining,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,129
FromTraining,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,597
FromTraining,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,199
FromTraining,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,180
FromTraining,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,122
FromTraining,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,231
FromTraining,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,98
FromTraining,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,382
FromTraining,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,481
FromTraining,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,300
FromTraining,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,61
FromTraining,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,317
FromTraining,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,52
FromTraining,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,19
FromTraining,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,299
FromTraining,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,247
FromTraining,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,214
FromTraining,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,537
FromTraining,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,191
FromTraining,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,92
FromTraining,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,371
FromTraining,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,259
