method,initial points,goal 1,goal 2,goal 3,goal 4,points to find,rounds
Trivial,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,24
Trivial,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,567
Trivial,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,245
Trivial,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,287
Trivial,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,236
Trivial,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,139
Trivial,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,5
Trivial,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,575
Trivial,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,219
Trivial,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,89
Trivial,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,10
Trivial,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,222
Trivial,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,641
Trivial,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,248
Trivial,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,376
Trivial,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,12
Trivial,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,284
Trivial,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,13
Trivial,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,311
Trivial,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,656
Trivial,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,168
Trivial,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,605
Trivial,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,262
Trivial,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,231
Trivial,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,56
Trivial,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,467
Trivial,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,564
Trivial,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,81
Trivial,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,57
