PROPERTY: Processing method,PROPERTY: BCC/FCC/other,PROPERTY: Type of test,PROPERTY: YS (MPa),PROPERTY: Elongation (%),MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
CAST,FCC,C,330.0,45.0,13.0,29.0,16.0,27.08450704225352,1.8545600494549348,25.0,52.0,73.0,21.0,59.243039633147724,4.744867103273975,52.0,26.9815386,63.546,36.5644614,58.502281868915816,3.429306427886248,54.938045,933.47,1728.0,794.53,1524.4821192269899,133.32321046381276,1357.77,7.0,13.0,6.0,9.396986570586309,1.5702499643539525,7.0,3.0,4.0,1.0,3.982640026203734,0.03411721021211807,4.0,121.0,139.0,18.0,131.48149361283984,5.2649936287719195,124.0,1.55,1.91,0.3599999999999999,1.7835997379626598,0.15905700889268293,1.55,1.0,2.0,1.0,1.6724533245987554,0.44051970166967264,1.0,0.0,1.0,1.0,0.017359973796265967,0.03411721021211785,0.0,0.0,10.0,10.0,7.533573534228628,1.9212924543352405,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,9.223386832623648,1.6726015949903064,7.0,0.0,1.0,1.0,0.32754667540124466,0.44051970166967264,0.0,0.0,5.0,5.0,0.08679986898132984,0.17058605106058927,0.0,0.0,5.0,5.0,2.2928267278087127,1.77345121008273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.7071732721912873,1.581622367757992,1.0,10.32,16.48,6.16,10.727489750049132,0.4241030417283095,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953947,0.5953947,0.1951211335373911,0.2622165518916534,0.0,217.0,225.0,8.0,222.37962659679002,3.52415761335739,217.0
WROUGHT,FCC,T,917.0,18.85,13.0,28.0,15.0,25.926829268292686,1.570493753718024,24.0,49.0,73.0,24.0,56.17073170731708,4.069006543723973,49.0,26.9815386,58.933195,31.951656399999997,55.650207039024394,3.1809628697204015,51.9961,933.47,2180.0,1246.53,1848.8651219512196,161.52920880428323,1728.0,6.0,13.0,7.0,8.365853658536585,1.3325401546698394,6.0,3.0,4.0,1.0,3.9756097560975614,0.04759071980963672,4.0,121.0,139.0,18.0,130.02439024390245,5.342058298631767,124.0,1.61,1.91,0.2999999999999998,1.8148780487804879,0.0855443188578227,1.66,1.0,2.0,1.0,1.75609756097561,0.36882807852468763,1.0,0.0,1.0,1.0,0.02439024390243903,0.047590719809637125,0.0,0.0,8.0,8.0,6.341463414634147,1.1302795954788818,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,8.121951219512194,1.3444378346222488,6.0,0.0,1.0,1.0,0.24390243902439027,0.36882807852468774,0.0,0.0,5.0,5.0,0.12195121951219513,0.2379535990481856,0.0,0.0,5.0,5.0,3.414634146341464,1.0588935157644261,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,3.780487804878049,1.2492563950029745,2.0,10.245,16.48,6.235000000000001,10.764146341463416,0.4865556216537781,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,1.0376899268292683,0.7725629982153481,0.0,194.0,229.0,35.0,219.39024390243904,12.385484830458054,194.0
WROUGHT,FCC,T,719.0,30.0,13.0,29.0,16.0,26.14720812182741,1.8848647036953874,28.0,49.0,73.0,24.0,57.67367657722988,4.229542800139458,61.0,26.9815386,63.546,36.5644614,55.907310296881796,3.7464633273805092,58.6934,933.47,2180.0,1246.53,1789.5503698332125,153.52880334405916,1728.0,6.0,13.0,7.0,8.852066715010878,1.3806559702909225,10.0,3.0,4.0,1.0,3.960841189267585,0.0752507965488756,4.0,121.0,139.0,18.0,128.85496736765774,5.199968868992626,124.0,1.61,1.91,0.2999999999999998,1.8307686729514139,0.0812278553102294,1.91,1.0,2.0,1.0,1.7744742567077594,0.3493277648094461,2.0,0.0,1.0,1.0,0.03915881073241479,0.07525079654887543,0.0,0.0,10.0,10.0,6.646845540246556,1.3755014747788883,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,8.460478607686731,1.5163913693488935,10.0,0.0,1.0,1.0,0.22552574329224076,0.34932776480944616,0.0,0.0,5.0,5.0,0.19579405366207397,0.3762539827443771,0.0,0.0,5.0,5.0,2.9615663524292963,1.1611781613879801,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,3.3828861493836113,1.3321547021756472,2.0,10.245,16.48,6.235000000000001,10.815159535895578,0.6033310651169181,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.8978207309644671,0.6945867763368586,0.5953947,194.0,229.0,35.0,220.71356055112403,9.957048675328291,225.0
WROUGHT,other,T,460.0,32.0,13.0,29.0,16.0,26.14720812182741,1.8848647036953874,28.0,49.0,73.0,24.0,57.67367657722988,4.229542800139458,61.0,26.9815386,63.546,36.5644614,55.907310296881796,3.7464633273805092,58.6934,933.47,2180.0,1246.53,1789.5503698332125,153.52880334405916,1728.0,6.0,13.0,7.0,8.852066715010878,1.3806559702909225,10.0,3.0,4.0,1.0,3.960841189267585,0.0752507965488756,4.0,121.0,139.0,18.0,128.85496736765774,5.199968868992626,124.0,1.61,1.91,0.2999999999999998,1.8307686729514139,0.0812278553102294,1.91,1.0,2.0,1.0,1.7744742567077594,0.3493277648094461,2.0,0.0,1.0,1.0,0.03915881073241479,0.07525079654887543,0.0,0.0,10.0,10.0,6.646845540246556,1.3755014747788883,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,8.460478607686731,1.5163913693488935,10.0,0.0,1.0,1.0,0.22552574329224076,0.34932776480944616,0.0,0.0,5.0,5.0,0.19579405366207397,0.3762539827443771,0.0,0.0,5.0,5.0,2.9615663524292963,1.1611781613879801,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,3.3828861493836113,1.3321547021756472,2.0,10.245,16.48,6.235000000000001,10.815159535895578,0.6033310651169181,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.8978207309644671,0.6945867763368586,0.5953947,194.0,229.0,35.0,220.71356055112403,9.957048675328291,225.0
CAST,other,C,515.0,40.0,13.0,29.0,16.0,26.821922211507555,2.1576056425489503,25.0,52.0,73.0,21.0,59.49951783992286,4.821290800336132,52.0,26.9815386,63.546,36.5644614,57.91462416734169,4.12095896195218,54.938045,933.47,1728.0,794.53,1513.4635711989713,141.4804613320844,1357.77,7.0,13.0,6.0,9.46415943426551,1.584159070566062,7.0,3.0,4.0,1.0,3.964320154291225,0.06881358863794634,4.0,121.0,139.0,18.0,131.2860816457731,5.418088530024983,124.0,1.55,1.91,0.3599999999999999,1.7803632272581165,0.16025300256108463,1.55,1.0,2.0,1.0,1.6785599485695917,0.4362326895336496,1.0,0.0,1.0,1.0,0.03567984570877532,0.06881358863794661,0.0,0.0,10.0,10.0,7.39312118289939,2.0660608384450154,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,9.107360977177757,1.7905998364799016,7.0,0.0,1.0,1.0,0.32144005143040827,0.4362326895336495,0.0,0.0,5.0,5.0,0.1783992285438766,0.34406794318973305,0.0,0.0,5.0,5.0,2.250080360012858,1.7678686210139138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.7499196399871426,1.6070969334453777,1.0,10.32,16.48,6.16,10.834736807103827,0.5540902650643853,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953947,0.5953947,0.19148338819982483,0.259666545676744,0.0,217.0,225.0,8.0,222.42847958855677,3.4898615162691837,217.0
CAST,other,C,1862.0,1.0,13.0,29.0,16.0,25.307692307692307,2.158579881656805,22.0,43.0,73.0,30.0,53.8,6.203076923076923,43.0,26.9815386,63.546,36.5644614,54.90866859384616,4.286103884497041,47.867,933.47,2183.0,1249.53,1797.471230769231,227.72063431952662,1357.77,4.0,13.0,9.0,7.584615384615384,2.0525443786982245,4.0,3.0,4.0,1.0,3.9846153846153847,0.030295857988165628,4.0,121.0,160.0,39.0,137.86153846153846,9.736331360946744,124.0,1.54,1.91,0.3699999999999999,1.7355384615384615,0.14223905325443786,1.54,1.0,2.0,1.0,1.7538461538461538,0.3711242603550296,1.0,0.0,1.0,1.0,0.015384615384615385,0.030295857988165684,0.0,0.0,10.0,10.0,5.661538461538462,2.0563313609467455,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,7.430769230769231,2.0373964497041417,4.0,0.0,1.0,1.0,0.24615384615384617,0.3711242603550296,0.0,0.0,5.0,5.0,0.07692307692307693,0.15147928994082838,0.0,0.0,8.0,8.0,4.184615384615385,2.0336094674556215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,4.507692307692308,1.9768047337278105,1.0,10.245,16.69,6.445000000000002,11.791087533156924,1.650200367271764,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.5236752435720602,0.6605545770544787,0.0,194.0,229.0,35.0,217.86153846153846,11.959289940828404,194.0
CAST,FCC,T,766.5,27.39,13.0,28.0,15.0,25.22891144557228,1.6474484557269513,26.0,49.0,73.0,24.0,55.53972698634931,3.93044097427132,55.0,26.9815386,58.6934,31.711861399999997,54.253549079383966,3.272105378215339,55.845,933.47,2180.0,1246.53,1713.0256247812388,186.69720277823492,1811.0,6.0,13.0,7.0,8.12985649282464,1.2350594778601367,8.0,3.0,4.0,1.0,3.9499474973748687,0.09509449921218498,4.0,121.0,139.0,18.0,132.65103255162757,5.0800628585856975,132.0,1.55,1.91,0.3599999999999999,1.7361638081904092,0.13517441885394937,1.83,1.0,2.0,1.0,1.87994399719986,0.2112851179835856,2.0,0.0,1.0,1.0,0.05005250262513125,0.09509449921218496,0.0,0.0,8.0,8.0,5.699334966748338,1.1300978419589511,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,7.629331466573327,1.2070845404363322,8.0,0.0,1.0,1.0,0.12005600280014,0.21128511798358554,0.0,0.0,5.0,5.0,0.2502625131256562,0.4754724960609247,0.0,0.0,5.0,5.0,3.8001400070003495,1.0999649737474624,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,4.170458522926146,0.9869025827910225,4.0,10.32,16.48,6.16,10.923205798221911,0.6203234036150863,10.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.8578513371549611,0.8770118745852564,2.1106628,217.0,229.0,12.0,224.64018200910044,4.278715860889305,229.0
WROUGHT,FCC,T,62.0,98.0,13.0,29.0,16.0,25.916666666666668,2.4131944444444438,28.0,49.0,73.0,24.0,58.3125,5.260416666666667,61.0,26.9815386,63.546,36.5644614,55.22820032916666,4.877541186631945,58.6934,933.47,2180.0,1246.53,1751.2345833333334,203.55451388888892,1728.0,6.0,13.0,7.0,9.041666666666666,1.7013888888888893,10.0,3.0,4.0,1.0,3.9375,0.1171875,4.0,121.0,139.0,18.0,129.4375,5.5859375,124.0,1.61,1.91,0.2999999999999998,1.8214583333333334,0.09370659722222217,1.91,1.0,2.0,1.0,1.6875,0.4296875,2.0,0.0,1.0,1.0,0.0625,0.1171875,0.0,0.0,10.0,10.0,6.666666666666667,1.8055555555555558,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,8.416666666666666,1.8576388888888893,10.0,0.0,1.0,1.0,0.3125,0.4296875,0.0,0.0,5.0,5.0,0.3125,0.5859375,0.0,0.0,5.0,5.0,2.7083333333333335,1.4930555555555556,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,3.3333333333333335,1.5972222222222223,2.0,10.32,16.48,6.16,11.049791666666668,0.74140625,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.6878025416666667,0.5928584409722223,0.5953947,225.0,229.0,4.0,226.66666666666669,1.9444444444444475,225.0
WROUGHT,other,T,380.0,66.66666666666667,13.0,29.0,16.0,25.916666666666668,2.4131944444444438,28.0,49.0,73.0,24.0,58.3125,5.260416666666667,61.0,26.9815386,63.546,36.5644614,55.22820032916666,4.877541186631945,58.6934,933.47,2180.0,1246.53,1751.2345833333334,203.55451388888892,1728.0,6.0,13.0,7.0,9.041666666666666,1.7013888888888893,10.0,3.0,4.0,1.0,3.9375,0.1171875,4.0,121.0,139.0,18.0,129.4375,5.5859375,124.0,1.61,1.91,0.2999999999999998,1.8214583333333334,0.09370659722222217,1.91,1.0,2.0,1.0,1.6875,0.4296875,2.0,0.0,1.0,1.0,0.0625,0.1171875,0.0,0.0,10.0,10.0,6.666666666666667,1.8055555555555558,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,8.416666666666666,1.8576388888888893,10.0,0.0,1.0,1.0,0.3125,0.4296875,0.0,0.0,5.0,5.0,0.3125,0.5859375,0.0,0.0,5.0,5.0,2.7083333333333335,1.4930555555555556,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,3.3333333333333335,1.5972222222222223,2.0,10.32,16.48,6.16,11.049791666666668,0.74140625,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.6878025416666667,0.5928584409722223,0.5953947,225.0,229.0,4.0,226.66666666666669,1.9444444444444475,225.0
ANNEAL,FCC,T,210.0,70.0,13.0,28.0,15.0,25.646352941176467,1.9110311418685137,24.0,43.0,73.0,30.0,56.178823529411765,4.447759723183391,49.0,26.9815386,58.933195,31.951656399999997,55.046252457929405,3.92133535351142,51.9961,933.47,2180.0,1246.53,1836.2335270588235,165.86451303307956,1728.0,4.0,13.0,9.0,8.35364705882353,1.4440690934256055,6.0,3.0,4.0,1.0,3.9607058823529417,0.07550017993079534,4.0,121.0,160.0,39.0,130.4675294117647,5.88994646366782,124.0,1.54,1.91,0.3699999999999999,1.8062799999999999,0.09466352941176473,1.66,1.0,2.0,1.0,1.7647058823529411,0.3598615916955017,1.0,0.0,1.0,1.0,0.03929411764705883,0.07550017993079584,0.0,0.0,8.0,8.0,6.1567058823529415,1.2642768166089964,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,7.960705882352941,1.4672387543252596,6.0,0.0,1.0,1.0,0.23529411764705882,0.3598615916955017,0.0,0.0,5.0,5.0,0.19647058823529415,0.3775008996539793,0.0,0.0,8.0,8.0,3.4503529411764706,1.1656069757785466,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,3.882117647058824,1.3008166089965398,2.0,10.245,16.69,6.445000000000002,10.969983529411763,0.7599767474048437,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,1.0010660165333334,0.7797656314980391,0.0,194.0,229.0,35.0,218.98282352941177,12.732422532871968,194.0
