Crystallinity,Temperature (K),log Resistivity,Power factor (W*m/K^2),ZT,Thermal conductivity (W/(m*K)),Seebeck coefficient (uV/K),MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
polycrystalline,300.0001122,-3.112945622,0.0011,0.039441739,8.35,-92.0,28.0,51.0,23.0,39.32666666666667,7.564177777777778,28.0,12.0,85.0,73.0,61.093333333333334,12.737777777777774,61.0,58.6934,121.76,63.06660000000001,89.53677033333332,20.587483702222226,58.6934,505.08,2128.0,1622.92,1452.4293333333333,620.9342222222223,1728.0,3.0,15.0,12.0,9.326666666666666,3.591111111111111,10.0,4.0,5.0,1.0,4.666666666666667,0.4444444444444444,4.0,124.0,190.0,66.0,146.29999999999998,19.733333333333327,124.0,1.22,2.05,0.8299999999999998,1.732333333333333,0.2726222222222222,1.91,2.0,2.0,0.0,2.0,0.0,2.0,0.0,3.0,3.0,0.68,0.9066666666666666,0.0,1.0,10.0,9.0,6.646666666666666,3.1377777777777776,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,12.0,9.326666666666666,3.591111111111111,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.32,1.7599999999999998,0.0,0.0,9.0,9.0,3.353333333333333,3.1377777777777767,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,4.673333333333333,2.2577777777777777,2.0,10.32,33.285,22.964999999999996,22.427066666666665,8.071377777777778,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953947,0.5953947,0.19846490000000003,0.2646198666666667,0.5953947,141.0,225.0,84.0,187.0,30.0,225.0
polycrystalline,1000.000131,-2.680554553,0.000661,0.262891577,2.51443,-117.444,8.0,49.0,41.0,24.06,19.272,8.0,75.0,87.0,12.0,82.28,5.664,87.0,15.9994,114.818,98.8186,54.68327999999999,46.420655999999994,15.9994,54.8,1211.4,1156.6000000000001,220.413,198.73559999999998,54.8,13.0,16.0,3.0,14.819999999999999,1.4160000000000004,16.0,2.0,5.0,3.0,3.18,1.416,2.0,66.0,142.0,76.0,95.96000000000001,35.952,66.0,1.78,3.44,1.66,2.7806,0.7912799999999999,3.44,2.0,2.0,0.0,2.0,0.0,2.0,1.0,4.0,3.0,2.82,1.416,4.0,0.0,10.0,10.0,4.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,8.0,8.819999999999999,3.3839999999999995,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.18,1.416,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.18,1.416,2.0,9.105,24.26,15.155000000000001,15.141900000000001,7.244280000000001,9.105,0.0,0.383,0.383,0.00766,0.015013599999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,64.52,63.024,12.0
polycrystalline,1000.000171,-1.669586227,2.16e-05,0.006710396,3.22,-68.0,8.0,39.0,31.0,18.222731144828945,6.244919474273725,14.0,12.0,87.0,75.0,69.10075433030036,12.75595114332103,78.0,15.9994,88.90585,72.90645,38.06469618828626,14.525474291616328,28.0855,54.8,1811.0,1756.2,1637.9483944246224,175.90754885642554,1687.0,3.0,16.0,13.0,11.88954184619563,3.010148550686643,14.0,2.0,5.0,3.0,3.320979271349028,0.5351273723668943,3.0,66.0,190.0,124.0,117.77397251817922,13.948506271005542,111.0,1.22,3.44,2.2199999999999998,1.9392291262855095,0.1667543779976345,1.9,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,1.4321164458820477,0.9724013912594089,2.0,0.0,7.0,7.0,1.852405585254139,2.5101770532193934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,6.0,5.284522031136186,1.7233582048934355,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.530895443153619,1.7774570867658281,4.0,0.0,9.0,9.0,1.5425745996864157,2.0377471594272336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,4.073470042840034,0.3649326503161732,4.0,9.105,32.365,23.26,17.314757034037456,4.896051413722447,20.44,0.0,0.773,0.773,0.46762305707477864,0.3694729614769526,0.773,0.0,2.1106628,2.1106628,0.638052081492364,0.8901330289094572,0.0,12.0,229.0,217.0,214.41691872739165,24.028131692319196,227.0
polycrystalline,1000.000171,-2.28488846,0.000178,0.096459952,1.8414,-96.0071,8.0,83.0,75.0,15.059999999999999,8.472,8.0,7.0,87.0,80.0,65.58,26.520799999999998,87.0,15.9994,208.9804,192.981,31.980897000000006,19.177796400000005,15.9994,54.8,1519.0,1464.2,548.268,592.31632,54.8,2.0,16.0,14.0,11.66,5.3416,16.0,2.0,6.0,4.0,2.84,1.008,2.0,66.0,176.0,110.0,102.04,43.248000000000005,66.0,1.0,3.44,2.44,2.5944000000000003,1.0147199999999998,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.46,1.8695999999999997,4.0,0.0,10.0,10.0,1.2,1.8719999999999999,0.0,0.0,14.0,14.0,0.28,0.5488000000000001,0.0,2.0,29.0,27.0,5.9399999999999995,1.4184000000000005,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.26,0.9576,2.0,0.0,5.0,5.0,1.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.2600000000000002,1.1256,2.0,9.105,37.77,28.665000000000003,15.01811724138,8.907953103448001,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000310120689655,0.000310120689655,6.2024137931e-05,9.923862068959999e-05,0.0,12.0,225.0,213.0,91.34,98.3816,12.0
polycrystalline,300.0001298,-3.160908653,0.000108,0.022591533,1.4323,27.2882,16.0,42.0,26.0,26.96078431372549,11.795463283352555,16.0,50.0,88.0,38.0,70.0392156862745,18.78251954376522,88.0,32.065,95.96,63.894999999999996,59.065324084967315,28.93700071767269,32.065,388.36,2896.0,2507.64,1467.8156862745097,1128.8425477380495,388.36,6.0,16.0,10.0,11.313725490196077,4.900679225938742,16.0,3.0,5.0,2.0,3.869281045751634,0.9090520739886369,3.0,105.0,154.0,49.0,127.10457516339869,23.11589559571105,105.0,1.55,2.58,1.03,2.327777777777778,0.26376180101670293,2.58,1.0,2.0,1.0,1.607843137254902,0.4767397154940407,2.0,0.0,4.0,4.0,2.0915032679738563,1.9958135759750524,4.0,0.0,5.0,5.0,2.3856209150326797,2.4947669699688158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,1.0,6.084967320261438,0.15549574949805603,6.0,0.0,1.0,1.0,0.39215686274509803,0.47673971549404076,0.0,0.0,2.0,2.0,1.0457516339869282,0.9979067879875262,2.0,0.0,5.0,5.0,2.3856209150326797,2.4947669699688158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,3.8235294117647056,1.9069588619761628,2.0,10.4875862069,25.786875,15.299288793099999,20.527376605815032,5.5001290396705524,25.786875,0.0,2.202,2.202,1.1513725490196078,1.0986953735742662,2.202,0.0,0.000310120689655,0.000310120689655,2.6350123957614376e-05,4.8222449072758336e-05,0.0,70.0,229.0,159.0,144.84313725490196,78.26733307702166,70.0
polycrystalline,400.0003317,-2.468203143,0.00224,0.469668971,1.90897,-276.16,27.0,51.0,24.0,45.02484472049689,8.956444581613367,51.0,58.0,85.0,27.0,78.22981366459626,10.09220323289997,85.0,58.933195,121.76,62.82680500000001,106.10773788819876,23.440766652521127,121.76,429.75,1768.0,1338.25,1115.548757763975,324.1993750241116,903.78,9.0,15.0,6.0,13.496894409937887,2.240654295744763,15.0,4.0,5.0,1.0,4.751552795031055,0.3734423826241273,5.0,126.0,142.0,16.0,135.78881987577637,4.864009876162199,139.0,1.78,2.05,0.2699999999999998,2.0060869565217385,0.06546043748312198,2.05,2.0,2.0,0.0,2.0,0.0,2.0,0.0,3.0,3.0,2.24223602484472,1.1295860499209134,3.0,7.0,10.0,3.0,9.254658385093167,1.1203271478723815,10.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,15.0,6.0,13.496894409937887,2.240654295744763,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.2670807453416146,1.1264997492380695,3.0,0.0,3.0,3.0,0.7453416149068323,1.1203271478723813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,3.012422360248447,0.024690405462752012,3.0,10.245,31.56,21.314999999999998,26.21900621118012,7.961729871532736,31.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5484712,1.5484712,0.38471334161490683,0.5782647743528413,0.0,139.0,194.0,55.0,172.7888198757764,10.539716831912349,166.0
polycrystalline,1000.000103,-0.634182675,7.02e-05,0.014529805,4.833,403.782,8.0,29.0,21.0,17.189999999999998,9.2419,8.0,49.0,87.0,38.0,71.845,15.155,87.0,15.9994,63.546,47.5466,36.74676949999999,20.871787194999996,15.9994,54.8,2180.0,2125.2,905.5575,850.7575,54.8,2.0,16.0,14.0,12.23,3.77,16.0,2.0,4.0,2.0,2.995,0.995,2.0,66.0,141.0,75.0,100.76,34.76,66.0,1.31,3.44,2.13,2.60825,0.83175,3.44,1.0,2.0,1.0,1.505,0.49995,2.0,0.0,4.0,4.0,2.0,2.0,4.0,0.0,10.0,10.0,3.725,3.76225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,9.0,7.2299999999999995,1.8849999999999998,6.0,0.0,1.0,1.0,0.495,0.49995,0.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,5.0,5.0,1.225,1.84975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,2.7199999999999998,1.6072,2.0,9.105,22.89,13.785,10.176,1.0709999999999997,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,119.32499999999999,107.325,12.0
polycrystalline,300.0004425,-3.168202508,0.000966,0.102,2.85,81.0,11.0,82.0,71.0,57.859375,18.105468750000004,52.0,2.0,90.0,88.0,66.93749999999999,28.56445312500001,90.0,22.98976928,207.2,184.21023072,143.03045072499998,48.127161956249985,127.6,370.87,1050.0,679.13,700.55453125,126.4716064453125,722.66,1.0,16.0,15.0,11.890625,4.792480468749999,16.0,3.0,6.0,3.0,5.21875,0.5859375,5.0,138.0,195.0,57.0,152.09374999999997,15.581054687499988,138.0,0.93,2.33,1.4,1.91515625,0.45554199218750013,2.1,1.0,2.0,1.0,1.921875,0.14404296875,2.0,0.0,4.0,4.0,2.3125,1.318359375,4.0,0.0,10.0,10.0,7.65625,3.5888671875,10.0,0.0,14.0,14.0,5.25,6.5625,0.0,1.0,28.0,27.0,17.140625,8.14453125,16.0,0.0,1.0,1.0,0.078125,0.14404296875,0.0,0.0,4.0,4.0,2.28125,1.2890625,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.359375,1.23046875,2.0,28.11,54.23,26.119999999999997,34.87874999998437,6.047265625004881,34.7633333333,0.0,0.464,0.464,0.18125,0.2208984375,0.464,0.0,0.0,0.0,0.0,0.0,0.0,152.0,229.0,77.0,196.796875,34.99755859375,152.0
polycrystalline,1000.000721,-2.94221298,0.00261,0.414473123,6.2917,-172.594,22.0,50.0,28.0,33.39666666666667,11.119577777777778,28.0,43.0,80.0,37.0,61.346666666666664,12.435555555555553,61.0,47.867,118.71,70.84299999999999,75.24026459999999,29.09759770266666,58.6934,505.08,2750.0,2244.92,1394.0566666666666,592.6511111111112,505.08,4.0,14.0,10.0,9.336666666666666,3.5511111111111116,10.0,4.0,5.0,1.0,4.336666666666667,0.44664444444444457,4.0,124.0,164.0,40.0,141.01333333333332,12.68444444444444,124.0,1.54,1.96,0.41999999999999993,1.8035333333333332,0.1752888888888889,1.91,1.0,2.0,1.0,1.9966666666666668,0.0066444444444443,2.0,0.0,2.0,2.0,0.6666666666666666,0.888888888888889,0.0,2.0,10.0,8.0,6.673333333333333,3.1022222222222227,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,10.0,9.336666666666666,3.5511111111111116,10.0,0.0,1.0,1.0,0.0033333333333333335,0.006644444444444445,0.0,0.0,4.0,4.0,1.3333333333333333,1.777777777777778,0.0,0.0,8.0,8.0,3.3266666666666667,3.102222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,4.663333333333333,2.2177777777777776,2.0,10.32,33.285,22.964999999999996,20.1033,8.787799999999999,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953947,0.5953947,0.198472336,0.26461490933333337,0.0,141.0,229.0,88.0,186.78333333333333,30.522222222222222,141.0
polycrystalline,1000.000477,-2.218244625,0.000126,0.025093971,5.02,-87.3,14.0,27.0,13.0,18.000666666666664,5.334222222222221,14.0,55.0,78.0,23.0,70.33533333333334,10.219555555555553,78.0,28.0855,58.933195,30.847694999999998,37.340725463333335,12.340300617777778,28.0855,1687.0,1811.0,124.0,1728.3046666666667,55.07288888888888,1687.0,8.0,14.0,6.0,12.000666666666667,2.665777777777777,14.0,3.0,4.0,1.0,3.3333333333333335,0.4444444444444445,3.0,111.0,132.0,21.0,117.996,9.327999999999998,111.0,1.83,1.9,0.06999999999999984,1.8766999999999998,0.031071066666666647,1.9,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,1.3333333333333333,0.888888888888889,2.0,0.0,7.0,7.0,2.0006666666666666,2.6675555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,5.0,5.3340000000000005,1.7786666666666668,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.6666666666666665,1.777777777777778,4.0,0.0,4.0,4.0,1.3326666666666667,1.776888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,3.999333333333333,0.0013324444444448146,4.0,10.245,20.44,10.195000000000002,17.203010000000003,4.315986666666666,20.44,0.0,0.773,0.773,0.5153333333333333,0.3435555555555556,0.773,0.0,2.1106628,2.1106628,0.7031794722666667,0.9375726296888889,0.0,194.0,229.0,35.0,227.64333333333335,0.9026355555555595,227.0
