formula,Crystallinity,Temperature (K),log Resistivity,Power factor (W*m/K^2),ZT,Thermal conductivity (W/(m*K)),Seebeck coefficient (uV/K)
Zr$_{0.94}$Y$_{0.06}$NiSn$_{0.96}$Sb$_{0.04}$,polycrystalline,300.0001122,-3.112945622,1.10E-03,0.039441739,8.35,-92
In$_{1.9}$Ge$_{0.1}$O$_{3}$,polycrystalline,1000.000131,-2.680554553,6.61E-04,0.262891577,2.51443,-117.444
Fe$_{0.978}$Co$_{0.00196}$Si$_{1.96}$Y$_{0.12}$O$_{0.18}$,polycrystalline,1000.000171,-1.669586227,2.16E-05,0.006710396,3.22,-68
Ca$_{0.9}$Bi$_{0.1}$MnO$_{3}$,polycrystalline,1000.000171,-2.28488846,1.78E-04,0.096459952,1.8414,-96.0071
Mn$_{1.3}$Mo$_{6}$S$_{8}$,polycrystalline,300.0001298,-3.160908653,1.08E-04,0.022591533,1.4323,27.2882
In$_{0.1}$Co$_{4}$Sb$_{12}$,polycrystalline,400.0003317,-2.468203143,2.24E-03,0.469668971,1.90897,-276.16
CuCr$_{0.98}$Mg$_{0.02}$O$_{2}$,polycrystalline,1000.000103,-0.634182675,7.02E-05,0.014529805,4.833,403.782
Pb$_{0.96}$Sr$_{0.4}$TeNa$_{0.2}$,polycrystalline,300.0004425,-3.168202508,9.66E-04,1.02E-01,2.85E+00,81
Ti$_{0.99}$Nb$_{0.01}$NiSn,polycrystalline,1000.000721,-2.94221298,2.61E-03,0.414473123,6.2917,-172.594
Fe$_{0.998}$Co$_{0.002}$Si$_{2}$,polycrystalline,1000.000477,-2.218244625,1.26E-04,0.025093971,5.02,-87.3
Mo$_{6}$Te$_{7}$S,polycrystalline,1000.000204,-3.079354999,5.35E-05,0.011602871,4.60973,21.1078
Ca$_{2.4}$Na$_{0.3}$Bi$_{0.3}$Co$_{4}$O$_{9}$,polycrystalline,400.000889,-2.035033625,2.27E-04,0.047717381,1.9,144.6
LaFe$_{3}$CoSb$_{12}$,polycrystalline,400.0009656,-2.737470602,1.11E-03,0.277984857,1.6,142.661
NbCoSn,single crystal,400.0008871,-2.849265045,1.33E-03,0.066676394,7.9584,-137.005
NbCoSn,single crystal,300.0007901,-2.910692012,1.16E-03,0.050251597,6.90444,-119.188
La$_{3}$Te$_{3.65}$Sb$_{0.35}$,polycrystalline,700.0002368,-2.728158393,4.07E-04,0.143755415,1.98,-87.2
SrNd$_{0.2}$Ti$_{0.8}$O$_{3}$,polycrystalline,300.0003783,-2.735598969,6.44E-05,0.003492303,5.53,-34.4
BaPbO$_{3}$,polycrystalline,300.000007,-3.362773529,1.56E-04,0.012368285,3.78035,-26
CaGd$_{0.94}$Mn$_{0.06}$O$_{3}$,polycrystalline,300.0001932,-1.837272689,7.48E-05,0.00787002,2.84951,-104.27
In$_{1.94}$Ge$_{0.06}$O$_{3}$,polycrystalline,700.000048,-2.855158138,5.62E-04,0.100865679,3.89999,-88.5677
CaMnO$_{3}$,polycrystalline,700.0008992,-0.632444685,6.03E-05,0.019480754,2.16539,-374.8
CeFe$_{3.5}$Co$_{0.5}$Sb$_{14}$,polycrystalline,700.0007411,-2.970616222,2.33E-03,0.6558871,2.49,158
Ba$_{8}$Ga$_{16}$Ge$_{30}$,polycrystalline,700.0006363,-2.334419009,1.79E-03,0.627006479,2,288
Ca$_{2.94}$Na$_{0.06}$AlSb$_{3}$,polycrystalline,400.0006821,-1.472370099,6.68E-05,0.021028529,1.27,150
Zr$_{0.35}$Hf$_{0.35}$Ti$_{0.3}$NiSn,polycrystalline,300.0007878,-2.065245592,1.59E-03,0.150488885,3.17,-369.912
In$_{0.05}$Co$_{4}$Sb$_{12}$,polycrystalline,300.0002481,-2.223610487,1.31E-03,0.188435535,2.08661,-279.86
CaYb$_{0.1}$Mn$_{0.9}$O$_{3}$,polycrystalline,1000.000102,-2.1065373,2.11E-04,0.133018362,1.58304,-128.361
CaMnO$_{3}$,polycrystalline,700.0000988,-0.314090635,2.27E-05,0.004804282,3.3114,-332.067
Cr$_{1.3}$Mo$_{6}$S$_{8}$,polycrystalline,1000.00074,-3.08914997,6.01E-04,0.188309984,3.1915,69.9615
